GRAPH;TIME(s);LOWER BOUND;UPPER BOUND;GAP;TERMINATION CONDITION;CAPACITY;LENGTH;PROBABILITY;MINCAPACITY
data_Graph80_0_41;3769.3656401634216;3.0;3.0;0.0;optimal;95;100;80;0
data_Graph90_0_79;4093.5699696540833;3.0;3.0;0.0;optimal;96;100;90;0
data_Graph70_2_41;5542.770129442215;5.0;5.0;0.0;optimal;93;100;70;2
data_Graph60_1_41;64.42916107177734;3.0;3.0;0.0;optimal;93;100;60;1
data_Graph60_0_41;107.81706714630127;3.0;3.0;0.0;optimal;94;100;60;0
data_Graph60_0_17;91.59287405014038;3.0;3.0;0.0;optimal;94;100;60;0
data_Graph90_0_7;251.24138069152832;3.0;3.0;0.0;optimal;97;100;90;0
data_Graph40_1_41;41.29098963737488;3.0;3.0;0.0;optimal;90;100;40;1
data_Graph80_0_17;218.42945194244385;3.0;3.0;0.0;optimal;96;100;80;0
data_Graph60_0_17;102.09287881851196;3.0;3.0;0.0;optimal;94;100;60;0
data_Graph80_1_17;569.8254070281982;3.0;3.0;0.0;optimal;95;100;80;1
data_Graph90_1_7;535.7589643001556;3.0;3.0;0.0;optimal;96;100;90;1
data_Graph90_0_79;680.7857985496521;3.0;3.0;0.0;optimal;96;100;90;0
data_Graph90_1_79;384.85159373283386;None;None;0;infeasible;95;100;90;1
data_Graph50_2_41;30838.088247299194;5.0;5.0;0.0;optimal;91;100;50;2
data_Graph70_0_79;155.2375886440277;3.0;3.0;0.0;optimal;95;100;70;0
data_Graph90_2_41;3550.7701103687286;None;None;0;infeasible;95;100;90;2
data_Graph80_0_17;284.74660062789917;3.0;3.0;0.0;optimal;96;100;80;0
data_Graph40_1_41;44.724263191223145;3.0;3.0;0.0;optimal;90;100;40;1
data_Graph70_0_79;148.31374740600586;3.0;3.0;0.0;optimal;95;100;70;0
data_Graph40_0_17;46.92367100715637;3.0;3.0;0.0;optimal;92;100;40;0
data_Graph60_1_41;79.33491277694702;3.0;3.0;0.0;optimal;93;100;60;1
data_Graph80_0_7;841.5133256912231;3.0;3.0;0.0;optimal;95;100;80;0
data_Graph80_2_43;596.7245316505432;None;None;0;infeasible;93;100;80;2
data_Graph60_0_43;76.71707129478455;3.0;3.0;0.0;optimal;94;100;60;0
data_Graph70_1_43;37722.27623844147;3.0;3.0;0.0;optimal;94;100;70;1
data_Graph40_2_43;49.628437519073486;3.0;3.0;0.0;optimal;89;100;40;2
data_Graph50_1_43;68.55418539047241;3.0;3.0;0.0;optimal;92;100;50;1
data_Graph50_2_17;329.5911982059479;None;None;0;infeasible;90;100;50;2
data_Graph60_1_43;71.39440155029297;3.0;3.0;0.0;optimal;93;100;60;1
data_Graph70_2_7;4430.66971039772;None;None;0;infeasible;93;100;70;2
data_Graph60_0_43;81.9591953754425;3.0;3.0;0.0;optimal;94;100;60;0
data_Graph60_2_43;16809.170647144318;None;None;0;infeasible;92;100;60;2
data_Graph70_1_7;10985.009283542633;3.0;3.0;0.0;optimal;94;100;70;1
data_Graph40_2_79;275.3893201351166;3.0;3.0;0.0;optimal;89;100;40;2
data_Graph70_0_7;204.8615689277649;3.0;3.0;0.0;optimal;95;100;70;0
data_Graph90_2_7;642.8554694652557;None;None;0;infeasible;95;100;90;2
data_Graph80_1_17;475.39563941955566;3.0;3.0;0.0;optimal;95;100;80;1
data_Graph40_2_79;261.59637570381165;3.0;3.0;0.0;optimal;89;100;40;2
data_Graph40_1_17;49.54627203941345;3.0;3.0;0.0;optimal;91;100;40;1
data_Graph70_2_17;567.6575865745544;None;None;0;infeasible;92;100;70;2
data_Graph60_0_41;141.372802734375;3.0;3.0;0.0;optimal;94;100;60;0
data_Graph80_2_79;3712.913582086563;None;None;0;infeasible;94;100;80;2
data_Graph80_0_7;596.9255211353302;3.0;3.0;0.0;optimal;95;100;80;0
data_Graph80_1_7;7176.1447768211365;None;None;0;infeasible;94;100;80;1
data_Graph40_1_7;81.03031611442566;3.0;3.0;0.0;optimal;90;100;40;1
