GRAPH;TIME(s);LOWER BOUND;UPPER BOUND;GAP;TERMINATION CONDITION;CAPACITY;LENGTH;PROBABILITY;MINCAPACITY
data_Graph60_2_17;10012.749217510223;5.0;5.0;0.0;optimal;92;100;60;2
data_Graph70_1_17;399.6046118736267;None;None;0;infeasible;93;100;70;1
data_Graph70_1_41;129.57138681411743;3.0;3.0;0.0;optimal;94;100;70;1
data_Graph70_1_17;721.2781584262848;None;None;0;infeasible;93;100;70;1
data_Graph70_1_41;130.8464903831482;3.0;3.0;0.0;optimal;94;100;70;1
data_Graph70_1_41;139.64726996421814;3.0;3.0;0.0;optimal;94;100;70;1
data_Graph70_1_43;177.55609941482544;3.0;3.0;0.0;optimal;94;100;70;1
data_Graph50_1_17;15997.747525691986;3.0;3.0;0.0;optimal;91;100;50;1
data_Graph70_1_43;657.6321322917938;3.0;3.0;0.0;optimal;94;100;70;1
data_Graph50_1_7;16019.026024580002;5.0;5.0;0.0;optimal;91;100;50;1
data_Graph60_2_43;15827.023987054825;None;None;0;infeasible;92;100;60;2
data_Graph70_1_7;173.21122694015503;3.0;3.0;0.0;optimal;94;100;70;1
data_Graph70_1_7;178.91364336013794;3.0;3.0;0.0;optimal;94;100;70;1
data_Graph60_2_41;19448.92413544655;3.0;3.0;0.0;optimal;92;100;60;2
data_Graph70_1_7;160.18245816230774;3.0;3.0;0.0;optimal;94;100;70;1
